SECT;SAL92;AGE;EXPERI;SEX
2;50725;29;4;0
2;49275;32;4;0
2;60870;29;4;0
2;50000;32;3;0
2;41538;28;4;0
2;51948;26;2;0
2;54054;26;2;0
2;88028;36;5;0
2;66693;29;4;0
2;22534;26;3;1
2;66740;28;2;1
2;57971;28;3;0
2;82394;28;5;1
2;43478;30;4;0
2;50767;28;3;0
2;44928;29;2;0
2;63415;29;3;0
2;66740;28;4;0
2;54348;30;4;0
2;55238;30;5;0
2;60870;35;6;0
